"","gutenberg_id","text","linenumber"
"1",141,"MANSFIELD PARK",1
"2",141,"",2
"3",141,"(1814)",3
"4",141,"",4
"5",141,"By Jane Austen",5
"6",141,"",6
"7",141,"",7
"8",141,"Contents",8
"9",141,"",9
"10",141,"   CHAPTER I",10
"11",141,"   CHAPTER II",11
"12",141,"   CHAPTER III",12
"13",141,"   CHAPTER IV",13
"14",141,"   CHAPTER V",14
"15",141,"   CHAPTER VI",15
"16",141,"   CHAPTER VII",16
"17",141,"   CHAPTER VIII",17
"18",141,"   CHAPTER IX",18
"19",141,"   CHAPTER X",19
"20",141,"   CHAPTER XI",20
"21",141,"   CHAPTER XII",21
"22",141,"   CHAPTER XIII",22
"23",141,"   CHAPTER XIV",23
"24",141,"   CHAPTER XV",24
"25",141,"   CHAPTER XVI",25
"26",141,"   CHAPTER XVII",26
"27",141,"   CHAPTER XVIII",27
"28",141,"   CHAPTER XIX",28
"29",141,"   CHAPTER XX",29
"30",141,"   CHAPTER XXI",30
"31",141,"   CHAPTER XXII",31
"32",141,"   CHAPTER XXIII",32
"33",141,"   CHAPTER XXIV",33
"34",141,"   CHAPTER XXV",34
"35",141,"   CHAPTER XXVI",35
"36",141,"   CHAPTER XXVII",36
"37",141,"   CHAPTER XXVIII",37
"38",141,"   CHAPTER XXIX",38
"39",141,"   CHAPTER XXX",39
"40",141,"   CHAPTER XXXI",40
"41",141,"   CHAPTER XXXII",41
"42",141,"   CHAPTER XXXIII",42
"43",141,"   CHAPTER XXXIV",43
"44",141,"   CHAPTER XXXV",44
"45",141,"   CHAPTER XXXVI",45
"46",141,"   CHAPTER XXXVII",46
"47",141,"   CHAPTER XXXVIII",47
"48",141,"   CHAPTER XXXIX",48
"49",141,"   CHAPTER XL",49
"50",141,"   CHAPTER XLI",50
"51",141,"   CHAPTER XLII",51
"52",141,"   CHAPTER XLIII",52
"53",141,"   CHAPTER XLIV",53
"54",141,"   CHAPTER XLV",54
"55",141,"   CHAPTER XLVI",55
"56",141,"   CHAPTER XLVII",56
"57",141,"   CHAPTER XLVIII",57
"58",141,"",58
"59",141,"",59
"60",141,"",60
"61",141,"",61
"62",141,"CHAPTER I",62
"63",141,"",63
"64",141,"",64
"65",141,"About thirty years ago Miss Maria Ward, of Huntingdon, with only seven",65
"66",141,"thousand pounds, had the good luck to captivate Sir Thomas Bertram, of",66
"67",141,"Mansfield Park, in the county of Northampton, and to be thereby raised",67
"68",141,"to the rank of a baronet’s lady, with all the comforts and consequences",68
"69",141,"of an handsome house and large income. All Huntingdon exclaimed on the",69
"70",141,"greatness of the match, and her uncle, the lawyer, himself, allowed her",70
"71",141,"to be at least three thousand pounds short of any equitable claim to",71
"72",141,"it. She had two sisters to be benefited by her elevation; and such of",72
"73",141,"their acquaintance as thought Miss Ward and Miss Frances quite as",73
"74",141,"handsome as Miss Maria, did not scruple to predict their marrying with",74
"75",141,"almost equal advantage. But there certainly are not so many men of",75
"76",141,"large fortune in the world as there are pretty women to deserve them.",76
"77",141,"Miss Ward, at the end of half a dozen years, found herself obliged to",77
"78",141,"be attached to the Rev. Mr. Norris, a friend of her brother-in-law,",78
"79",141,"with scarcely any private fortune, and Miss Frances fared yet worse.",79
"80",141,"Miss Ward’s match, indeed, when it came to the point, was not",80
"81",141,"contemptible: Sir Thomas being happily able to give his friend an",81
"82",141,"income in the living of Mansfield; and Mr. and Mrs. Norris began their",82
"83",141,"career of conjugal felicity with very little less than a thousand a",83
"84",141,"year. But Miss Frances married, in the common phrase, to disoblige her",84
"85",141,"family, and by fixing on a lieutenant of marines, without education,",85
"86",141,"fortune, or connexions, did it very thoroughly. She could hardly have",86
"87",141,"made a more untoward choice. Sir Thomas Bertram had interest, which,",87
"88",141,"from principle as well as pride—from a general wish of doing right, and",88
"89",141,"a desire of seeing all that were connected with him in situations of",89
"90",141,"respectability, he would have been glad to exert for the advantage of",90
"91",141,"Lady Bertram’s sister; but her husband’s profession was such as no",91
"92",141,"interest could reach; and before he had time to devise any other method",92
"93",141,"of assisting them, an absolute breach between the sisters had taken",93
"94",141,"place. It was the natural result of the conduct of each party, and such",94
"95",141,"as a very imprudent marriage almost always produces. To save herself",95
"96",141,"from useless remonstrance, Mrs. Price never wrote to her family on the",96
"97",141,"subject till actually married. Lady Bertram, who was a woman of very",97
"98",141,"tranquil feelings, and a temper remarkably easy and indolent, would",98
"99",141,"have contented herself with merely giving up her sister, and thinking",99
"100",141,"no more of the matter; but Mrs. Norris had a spirit of activity, which",100
"101",141,"could not be satisfied till she had written a long and angry letter to",101
"102",141,"Fanny, to point out the folly of her conduct, and threaten her with all",102
"103",141,"its possible ill consequences. Mrs. Price, in her turn, was injured and",103
"104",141,"angry; and an answer, which comprehended each sister in its bitterness,",104
"105",141,"and bestowed such very disrespectful reflections on the pride of Sir",105
"106",141,"Thomas as Mrs. Norris could not possibly keep to herself, put an end to",106
"107",141,"all intercourse between them for a considerable period.",107
"108",141,"",108
"109",141,"Their homes were so distant, and the circles in which they moved so",109
"110",141,"distinct, as almost to preclude the means of ever hearing of each",110
"111",141,"other’s existence during the eleven following years, or, at least, to",111
"112",141,"make it very wonderful to Sir Thomas that Mrs. Norris should ever have",112
"113",141,"it in her power to tell them, as she now and then did, in an angry",113
"114",141,"voice, that Fanny had got another child. By the end of eleven years,",114
"115",141,"however, Mrs. Price could no longer afford to cherish pride or",115
"116",141,"resentment, or to lose one connexion that might possibly assist her. A",116
"117",141,"large and still increasing family, an husband disabled for active",117
"118",141,"service, but not the less equal to company and good liquor, and a very",118
"119",141,"small income to supply their wants, made her eager to regain the",119
"120",141,"friends she had so carelessly sacrificed; and she addressed Lady",120
"121",141,"Bertram in a letter which spoke so much contrition and despondence,",121
"122",141,"such a superfluity of children, and such a want of almost everything",122
"123",141,"else, as could not but dispose them all to a reconciliation. She was",123
"124",141,"preparing for her ninth lying-in; and after bewailing the circumstance,",124
"125",141,"and imploring their countenance as sponsors to the expected child, she",125
"126",141,"could not conceal how important she felt they might be to the future",126
"127",141,"maintenance of the eight already in being. Her eldest was a boy of ten",127
"128",141,"years old, a fine spirited fellow, who longed to be out in the world;",128
